;Navn:;a;;Check for duplicates:;;a;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Emne;Tema;Gr. ;Uke nr. ;Dato;Dag;Tid;Tidspunkt;Foreleser;Rom;Undervisningsform;Kommentarer;Oppgaver/innleveringer;Helper1 (Date + Time + Name);Helper2 (Date + Time + Room);Helper1 Instance;Helper2 Instance;Check for Duplicates
;MG1KR2;Lek, akt. Og natur;;2;11.jan;torsdag;3;12:15-13:45;Markus Johansen Aasland;Idrettshall;Praktisk;;;4311112:15-13:45Markus Johansen Aasland;4311112:15-13:45Idrettshall;1;1;1
;MG2KR2;Teori KRØ;;2;11.jan;torsdag;E;12:15-15:45;Erlend Ellefsen Vinje;;Teori;;;4311112:15-15:45Erlend Ellefsen Vinje;4311112:15-15:45;1;1;1
;PPU;Samling 1;;2;11.jan;torsdag;pput;15:15-20:00;Rein Jensen;E2-40;Teori;;;4311115:15-20:00Rein Jensen;4311115:15-20:00E2-40;1;1;1
;MG2KR2;Teori KRØ;;2;12.jan;fredag;1;08:15-09:45;Erlend Ellefsen Vinje;;;;;4311208:15-09:45Erlend Ellefsen Vinje;4311208:15-09:45;1;1;1
;MG1KR2;Teori KRØ;;2;12.jan;fredag;F;08:15-11:45;Markus Johansen Aasland;;Teori;;;4311208:15-11:45Markus Johansen Aasland;4311208:15-11:45;1;1;1
;PPU;Samling 1;;2;12.jan;fredag;ppuf;09:15-14:00;Rein Jensen;Idrettshall;Praktisk;;;4311209:15-14:00Rein Jensen;4311209:15-14:00Idrettshall;1;1;1
;G2-KRO1300;Skøyter;;2;12.jan;fredag;2;10:15-11:45;???;Ute;Praktisk;;;4311210:15-11:45???;4311210:15-11:45Ute;1;1;1
;MG2KR2;Teori KRØ;;2;12.jan;fredag;2;10:15-11:45;Heidi Lindsverk;;;;;4311210:15-11:45Heidi Lindsverk;4311210:15-11:45;1;1;1
;G2-KRO1300;Skøyter;;2;12.jan;fredag;3;12:15-13:45;???;Ute;Praktisk;;;4311212:15-13:45???;4311212:15-13:45Ute;1;1;1
;G1-KRO1100;Didaktikk teori;;3;15.jan;mandag;1;08:15-09:45;Markus Johansen Aasland;;Teori;;;4311508:15-09:45Markus Johansen Aasland;4311508:15-09:45;1;1;1
